dir,change,count
results/llama31_v3/Llama-3.1-8B-Instruct,miR-181a-5p -> MIR-181A,3
results/llama31_v3/Llama-3.1-8B-Instruct,miR-18a-3p -> MIR-18A,1
results/llama31_v3/Llama-3.1-8B-Instruct,LPA1 -> LPAR1,2
results/llama31_v3/Llama-3.1-8B-Instruct,Nox2 -> CYBB,1
results/llama31_v3/Llama-3.1-8B-Instruct,Vegf -> VEGFA,1
results/llama31_v3/Llama-3.1-8B-Instruct,Glut1 -> SLC2A1,2
results/llama31_v3/Llama-3.1-8B-Instruct,Tankyrase -> TNKS,1
results/llama31_v3/Llama-3.1-8B-Instruct,Pdgf-bb -> PDGFB,2
results/llama31_v3/Llama-3.1-8B-Instruct,miR-204-5p -> MIR-204,1
results/llama31_v3/Llama-3.1-8B-Instruct,ST2 -> IL1RL1,1
results/llama31_v3/Llama-3.1-8B-Instruct,miR-455-3p -> MIR-455,2
results/llama31_v3/Llama-3.1-8B-Instruct,Par1 -> F2R,1
results/llama31_v3/Llama-3.1-8B-Instruct,C-reactive protein -> CRP,1
results/dev_think_35/Qwen3.5-4B,ZCCHC6 -> TUT7,1
results/dev_think_35/Qwen3.5-4B,LOX-1 -> OLR1,1
results/dev_think_35/Qwen3.5-4B,Nrf2 -> NFE2L2,1
results/dev_think_35/Qwen3.5-4B,Tenascin-C -> TNC,1
results/dev_think_35/Qwen3.5-4B,IKKε -> IKBKE,1
results/dev_think_35/Qwen3.5-4B,L-PGDS -> PTGDS,1
results/dev_think_35/Qwen3.5-4B,PKCδ -> PRRT2,1
results/dev_think_35/Qwen3.5-4B,Nox2 -> CYBB,1
results/dev_think_35/Qwen3.5-4B,PAR-1 -> F2R,1
results/dev_think_35/Qwen3.5-4B,PAR-2 -> F2RL1,1
results/psweep_v1/Qwen3-8B,ET-1 -> EDN1,1
results/psweep_v1/Qwen3-8B,XOR -> XDH,1
results/psweep_v1/Qwen3-8B,miR-9-5p -> MIR-9,1
results/psweep_v1/Qwen3-8B,Hic-5 -> TGFB1I1,1
results/psweep_v1/Qwen3-8B,miR-10a-5p -> MIR-10A,1
results/psweep_v1/Qwen3-8B,PAR2 -> F2RL1,3
results/psweep_v1/Qwen3-8B,Neutrophil elastase -> ELANE,1
results/psweep_v1/Qwen3-8B,S100A8 -> S100A8,1
results/psweep_v1/Qwen3-8B,S100A9 -> S100A9,1
results/psweep_v1/Qwen3-8B,Rip3 -> RIPK3,2
results/psweep_v1/Qwen3-8B,TGF beta -> TGFB1,1
results/psweep_v1/Qwen3-8B,C5 -> C5,1
results/psweep_v1/Qwen3-8B,C6 -> C6,1
results/psweep_v1/Qwen3-8B,CD59a -> CD59,1
results/psweep_v1/Qwen3-8B,Mig6 -> ERRFI1,1
results/psweep_v1/Qwen3-8B,SDF-1 -> CXCL12,2
results/psweep_v1/Qwen3-8B,IL1RA -> IL1RN,1
results/psweep_v1/Qwen3-8B,VEGFR-3 -> FLT4,1
results/psweep_v1/Qwen3-8B,TGF-β -> TGFB1,1
results/psweep_v1/Qwen3-8B,CD11b -> ITGAM,1
results/psweep_v1/Qwen3-8B,ZCCHC6 -> TUT7,1
results/psweep_v1/Qwen3-8B,LOX-1 -> OLR1,1
results/psweep_v1/Qwen3-8B,IL-17 -> IL17A,1
results/psweep_v1/Qwen3-8B,ALK5 -> TGFBR1,1
results/psweep_v1/Qwen3-8B,NCAM -> NCAM1,2
results/psweep_v1/Qwen3-8B,NF-κB -> NFKB1,1
results/psweep_v1/Qwen3-8B,Ob-Rb -> LEPR,1
results/psweep_v1/Qwen3-8B,Nrf2 -> NFE2L2,1
results/psweep_v1/Qwen3-8B,IKKε -> IKBKE,1
results/psweep_v1/Qwen3-8B,L-PGDS -> PTGDS,1
results/psweep_v1/Qwen3-8B,JNK -> MAPK8,1
results/psweep_v1/Qwen3-8B,Mig-6 -> ERRFI1,1
results/psweep_v1/Qwen3-8B,FoxO1 -> FOXO1,4
results/psweep_v1/Qwen3-8B,FoxO3 -> FOXO3,5
results/psweep_v1/Qwen3-8B,FoxO4 -> FOXO4,4
results/psweep_v1/Qwen3-8B,c-Fos -> FOS,1
results/psweep_v1/Qwen3-8B,OPG -> TNFRSF11B,1
results/psweep_v1/Qwen3-8B,CCL2 -> CCL2,1
results/psweep_v1/Qwen3-8B,CCR2 -> CCR2,1
results/psweep_v1/Qwen3-8B,A20 -> TNFAIP3,1
results/psweep_v1/Qwen3-8B,LUBRICIN -> PRG4,2
results/psweep_v1/Qwen3-8B,CXCR4 -> CXCR4,1
results/psweep_v1/Qwen3-8B,TNFalpha -> TNF,2
results/psweep_v1/Qwen3-8B,PCAF -> KAT2B,1
results/psweep_v1/Qwen3-8B,RSK-3 -> RPS6KA2,2
results/psweep_v1/Qwen3-8B,IRF4 -> IRF4,1
results/psweep_v1/Qwen3-8B,CCL17 -> CCL17,1
results/psweep_v1/Qwen3-8B,OPN -> SPP1,1
results/psweep_v1/Qwen3-8B,ApoE -> APOE,1
results/psweep_v1/Qwen3-8B,S100a9 -> S100A9,1
results/psweep_v1/Qwen3-8B,TDP-43 -> TARDBP,1
results/psweep_v1/Qwen3-8B,PKCδ -> PRRT2,1
results/psweep_v1/Qwen3-8B,Atf6α -> ATF6,1
results/psweep_v1/Qwen3-8B,miR-181a-5p -> MIR-181A,2
results/psweep_v1/Qwen3-8B,LPA1 -> LPAR1,1
results/psweep_v1/Qwen3-8B,Nox2 -> CYBB,1
results/psweep_v1/Qwen3-8B,Ccl2 -> CCL2,1
results/psweep_v1/Qwen3-8B,Ccr2 -> CCR2,1
results/psweep_v1/Qwen3-8B,Ccl5 -> CCL5,1
results/psweep_v1/Qwen3-8B,Ccr5 -> CCR5,1
results/psweep_v1/Qwen3-8B,VEGF -> VEGFA,1
results/psweep_v1/Qwen3-8B,sFlt-1 -> SFLT1,1
results/psweep_v1/Qwen3-8B,Glut1 -> SLC2A1,3
results/psweep_v1/Qwen3-8B,Tankyrase -> TNKS,1
results/psweep_v1/Qwen3-8B,miR-204-5p -> MIR-204,1
results/psweep_v1/Qwen3-8B,ST2 -> IL1RL1,1
results/psweep_v1/Qwen3-8B,ADAMTS4 -> ADAMTS4,1
results/psweep_v1/Qwen3-8B,ADAMTS5 -> ADAMTS5,1
results/psweep_v1/Qwen3-8B,PAR-2 -> F2RL1,1
results/psweep_v1/Qwen3-8B,PAR-1 -> F2R,1
results/magi_think_v4/Magistral-Small-2509,Et-1 -> EDN1,1
results/magi_think_v4/Magistral-Small-2509,miR-877-5p -> MIR-877,1
results/magi_think_v4/Magistral-Small-2509,Xor -> XDH,1
results/magi_think_v4/Magistral-Small-2509,miR-9-5p -> MIR-9,1
results/magi_think_v4/Magistral-Small-2509,Hic-5 -> TGFB1I1,1
results/magi_think_v4/Magistral-Small-2509,miR-10a-5p -> MIR-10A,2
results/magi_think_v4/Magistral-Small-2509,Rip3 -> RIPK3,2
results/magi_think_v4/Magistral-Small-2509,Rage -> AGER,1
results/magi_think_v4/Magistral-Small-2509,CD59a -> CD59,1
results/magi_think_v4/Magistral-Small-2509,Mig6 -> ERRFI1,2
results/magi_think_v4/Magistral-Small-2509,Vegfr3 -> FLT4,1
results/magi_think_v4/Magistral-Small-2509,TGF-β -> TGFB1,1
results/magi_think_v4/Magistral-Small-2509,CD11b -> ITGAM,2
results/magi_think_v4/Magistral-Small-2509,Zcchc6 -> TUT7,1
results/magi_think_v4/Magistral-Small-2509,Lox1 -> OLR1,1
results/magi_think_v4/Magistral-Small-2509,Il17 -> IL17A,1
results/magi_think_v4/Magistral-Small-2509,Il1ra -> IL1RN,1
results/magi_think_v4/Magistral-Small-2509,Alk5 -> TGFBR1,1
results/magi_think_v4/Magistral-Small-2509,NCAM -> NCAM1,1
results/magi_think_v4/Magistral-Small-2509,Nfkb -> NFKB1,1
results/magi_think_v4/Magistral-Small-2509,Ob-Rb -> LEPR,1
results/magi_think_v4/Magistral-Small-2509,Nrf2 -> NFE2L2,1
results/magi_think_v4/Magistral-Small-2509,L-PGDS -> PTGDS,1
results/magi_think_v4/Magistral-Small-2509,Mig-6 -> ERRFI1,1
results/magi_think_v4/Magistral-Small-2509,c-Fos -> FOS,1
results/magi_think_v4/Magistral-Small-2509,β-catenin -> CTNNB1,1
results/magi_think_v4/Magistral-Small-2509,Opg -> TNFRSF11B,1
results/magi_think_v4/Magistral-Small-2509,PAR2 -> F2RL1,2
results/magi_think_v4/Magistral-Small-2509,perf -> FABP9,1
results/magi_think_v4/Magistral-Small-2509,A20 -> TNFAIP3,1
results/magi_think_v4/Magistral-Small-2509,calcitonin -> CALCA,1
results/magi_think_v4/Magistral-Small-2509,PCAF -> KAT2B,1
results/magi_think_v4/Magistral-Small-2509,RSK-3 -> RPS6KA2,2
results/magi_think_v4/Magistral-Small-2509,Jmjd3 -> KDM6B,1
results/magi_think_v4/Magistral-Small-2509,Opn -> SPP1,1
results/magi_think_v4/Magistral-Small-2509,p21 -> CDKN1A,1
results/magi_think_v4/Magistral-Small-2509,TDP-43 -> TARDBP,1
results/magi_think_v4/Magistral-Small-2509,Pkcδ -> PRRT2,1
results/magi_think_v4/Magistral-Small-2509,Atf6α -> ATF6,1
results/magi_think_v4/Magistral-Small-2509,miR-181a-5p -> MIR-181A,2
results/magi_think_v4/Magistral-Small-2509,miR-18a-3p -> MIR-18A,1
results/magi_think_v4/Magistral-Small-2509,Nox2 -> CYBB,1
results/magi_think_v4/Magistral-Small-2509,Glut1 -> SLC2A1,2
results/magi_think_v4/Magistral-Small-2509,Tankyrase -> TNKS,1
results/magi_think_v4/Magistral-Small-2509,miR-204-5p -> MIR-204,1
results/magi_think_v4/Magistral-Small-2509,ST2 -> IL1RL1,1
results/magi_think_v4/Magistral-Small-2509,miR-455-3p -> MIR-455,1
results/magi_think_v4/Magistral-Small-2509,PAR-1 -> F2R,1
results/magi_think_v4/Magistral-Small-2509,PAR-2 -> F2RL1,1
results/magi_think_v6lite/Magistral-Small-2509,ET1 -> EDN1,1
results/magi_think_v6lite/Magistral-Small-2509,XOR -> XDH,1
results/magi_think_v6lite/Magistral-Small-2509,RIP3 -> RIPK3,3
results/magi_think_v6lite/Magistral-Small-2509,RAGE -> AGER,1
results/magi_think_v6lite/Magistral-Small-2509,MIG6 -> ERRFI1,2
results/magi_think_v6lite/Magistral-Small-2509,IL1RA -> IL1RN,1
results/magi_think_v6lite/Magistral-Small-2509,SDF1 -> CXCL12,2
results/magi_think_v6lite/Magistral-Small-2509,TGFB -> TGFB1,1
results/magi_think_v6lite/Magistral-Small-2509,CD11B -> ITGAM,1
results/magi_think_v6lite/Magistral-Small-2509,ZCCHC6 -> TUT7,1
results/magi_think_v6lite/Magistral-Small-2509,LOX1 -> OLR1,1
results/magi_think_v6lite/Magistral-Small-2509,IL17 -> IL17A,1
results/magi_think_v6lite/Magistral-Small-2509,ALK5 -> TGFBR1,1
results/magi_think_v6lite/Magistral-Small-2509,NCAM -> NCAM1,1
results/magi_think_v6lite/Magistral-Small-2509,NFKB -> NFKB1,1
results/magi_think_v6lite/Magistral-Small-2509,HDAC -> HDAC9,1
results/magi_think_v6lite/Magistral-Small-2509,TENASCINC -> TNC,1
results/magi_think_v6lite/Magistral-Small-2509,L-PGDS -> PTGDS,1
results/magi_think_v6lite/Magistral-Small-2509,OPG -> TNFRSF11B,1
results/magi_think_v6lite/Magistral-Small-2509,PAR2 -> F2RL1,3
results/magi_think_v6lite/Magistral-Small-2509,COX2 -> PTGS2,2
results/magi_think_v6lite/Magistral-Small-2509,PCAF -> KAT2B,1
results/magi_think_v6lite/Magistral-Small-2509,RSK3 -> RPS6KA2,2
results/magi_think_v6lite/Magistral-Small-2509,JMJD3 -> KDM6B,1
results/magi_think_v6lite/Magistral-Small-2509,NOX2 -> CYBB,1
results/magi_think_v6lite/Magistral-Small-2509,GLUT1 -> SLC2A1,2
results/magi_think_v6lite/Magistral-Small-2509,TANKYRASE -> TNKS,1
results/magi_think_v6lite/Magistral-Small-2509,PAR1 -> F2R,1
results/dyn_k5/Qwen3-8B,ET1 -> EDN1,1
results/dyn_k5/Qwen3-8B,ETB -> EDNRB,1
results/dyn_k5/Qwen3-8B,XOR -> XDH,1
results/dyn_k5/Qwen3-8B,HIC5 -> TGFB1I1,1
results/dyn_k5/Qwen3-8B,miR-10a-5p -> MIR-10A,1
results/dyn_k5/Qwen3-8B,RAGE -> AGER,2
results/dyn_k5/Qwen3-8B,DC -> DCX,2
results/dyn_k5/Qwen3-8B,MIG6 -> ERRFI1,2
results/dyn_k5/Qwen3-8B,VEGFR3 -> FLT4,1
results/dyn_k5/Qwen3-8B,TGF-β -> TGFB1,1
results/dyn_k5/Qwen3-8B,ZCCHC6 -> TUT7,2
results/dyn_k5/Qwen3-8B,LOX1 -> OLR1,1
results/dyn_k5/Qwen3-8B,IL17 -> IL17A,1
results/dyn_k5/Qwen3-8B,ALK5 -> TGFBR1,1
results/dyn_k5/Qwen3-8B,NCAM -> NCAM1,2
results/dyn_k5/Qwen3-8B,CBFA1 -> RUNX2,2
results/dyn_k5/Qwen3-8B,NFκB -> NFKB1,1
results/dyn_k5/Qwen3-8B,IKKε -> IKBKE,3
results/dyn_k5/Qwen3-8B,L-PGDS -> PTGDS,1
results/dyn_k5/Qwen3-8B,JNK -> MAPK8,1
results/dyn_k5/Qwen3-8B,TCTP -> TPT1,2
results/dyn_k5/Qwen3-8B,CFOS -> FOS,2
results/dyn_k5/Qwen3-8B,ERRα -> ESRRA,1
results/dyn_k5/Qwen3-8B,PERF -> FABP9,1
results/dyn_k5/Qwen3-8B,CALCITONIN -> CALCA,1
results/dyn_k5/Qwen3-8B,PCAF -> KAT2B,1
results/dyn_k5/Qwen3-8B,P53 -> TP53,1
results/dyn_k5/Qwen3-8B,P16 -> CDKN2A,1
results/dyn_k5/Qwen3-8B,IL8 -> CXCL8,1
results/dyn_k5/Qwen3-8B,RSK3 -> RPS6KA2,2
results/dyn_k5/Qwen3-8B,Jmjd3 -> KDM6B,1
results/dyn_k5/Qwen3-8B,OPN -> SPP1,1
results/dyn_k5/Qwen3-8B,TDP43 -> TARDBP,1
